"t","A_2y","B_2y","C_2y","D_2y","A_5y","B_5y","C_5y","D_5y","A_10y","B_10y","C_10y","D_10y"
"5","0.00286076626762414","8.87060233323434e-05","0","0","0.0129504466144778","0.000401564296385109","0","0.00167556204525688","0.0228879596129049","0.000709704145279617","4.96410175960714e-05","0.00793485532487678"
"5.16666666666667","0.00323594392358333","0.000100339435307196","0","0","0.0137100294802724","0.000425117241827235","0","0.00224017087562666","0.0238783800512673","0.000740414838679675","0.000455765091063296","0.00882393755579409"
"5.33333333333333","0.0036199407589772","0.000112246310349977","0","0","0.0144771230273072","0.000448903077108351","0","0.00281801238223441","0.0248721375315243","0.00077122900714958","0.00106997107573729","0.00972478347256828"
"5.5","0.00401358940397124","0.000124452466461563","0","0","0.0152534156905327","0.00047297415679994","0","0.00340930928246764","0.0258717104688497","0.000802223500742445","0.00175431748893747","0.0106389017170254"
"5.66666666666667","0.00441779856199382","0.000136986080505704","0","0","0.0160406875572647","0.000497385677411239","0","0.00401522980418078","0.0268796384755517","0.000833477067103968","0.00246730022119413","0.0115679132393026"
"5.83333333333333","0.00483356300256979","0.00014987799806467","0","0","0.0168408264394234","0.000522196175753659","0","0.00463705100266051","0.0278985444625587","0.000865071036789993","0.00320031798260404","0.0125135661493776"
"6","0.00526197513279174","0.000163162092244967","0","0","0.0176558460618025","0.000547468092918588","0","0.00527617283786562","0.0289311586403292","0.000897090067481059","0.00395217593736926","0.0134777527619535"
"6.16666666666667","0.00570423844965488","0.000176875680804495","0","0","0.0184879067926033","0.0005732684170853","0","0.00593413448710223","0.0299803449287169","0.000929622962893417","0.00472416023227807","0.0144625292405031"
"6.33333333333333","0.00616168324346839","0.000191060013080627","0","0","0.0193393394331209","0.000599669421186378","3.89690096303486e-06","0.00661263332290858","0.0310491303760266","0.000962763584998456","0.00551802768562722","0.0154701383341363"
"6.5","0.00663578500828938","0.000205760840857099","0","0","0.0202126726976264","0.000626749514998053","0.000218438671780355","0.00731354708347219","0.0321407383037216","0.00099661188176641","0.00633571693704807","0.016503035811003"
"6.66666666666667","0.00712818612410457","0.000221029090680615","0","0","0.0211106651589881","0.000654594235703254","0.000644572617906301","0.00803895988618708","0.0332586260420055","0.00103127505726305","0.00717937405647854","0.0175639213305988"
"6.83333333333333","0.0076407215143693","0.000236921659444533","0","1.03807678572922e-06","0.0220363426195027","0.000683297406678517","0.00115565653184067","0.00879119289175036","0.0344065283122203","0.0010668689168417","0.0080513826443908","0.0186557746731868"
"7","0.00817544916111791","0.000253502360595191","0","0.000124018596019798","0.0229930421021358","0.000712962501565255","0.00170502205912606","0.00957284062701794","0.0355885075572221","0.00110351942777691","0.00895439938060584","0.0197818984690064"
"7.16666666666667","0.00873468659118409","0.000270843055489246","0","0.000386542637061279","0.0239844639614195","0.000743704260113767","0.00228347544721505","0.0103868142338337","0.0368090128378298","0.00114136454551313","0.00989139622133407","0.0209459688585384"
"7.33333333333333","0.00932105474899429","0.000289025013792463","0","0.000709248152842725","0.0250147340084185","0.000775650614541568","0.00289065943473495","0.0112363932476768","0.038072949325275","0.00118055636847229","0.0108657107580345","0.022152095888892"
"7.5","0.00993753106874084","0.000308140559131126","0","0.0010622800486446","0.0260884780617719","0.000808945001197102","0.00352882362288239","0.0121252879510048","0.0393857609585314","0.0012212637010754","0.0118811066617365","0.0234048959394276"
"7.66666666666667","0.0105875140862293","0.000328295072563513","0","0.00144042368092978","0.0272109120205996","0.000843749153522523","0.00420119207378799","0.0130577149290237","0.0407535295462317","0.00126367512667484","0.0129418466766495","0.0247095791124448"
"7.83333333333333","0.0112749026374096","0.000349609448352572","0","0.00184443667113986","0.0283879514664524","0.000880246500569401","0.00491145374352271","0.0140384892328924","0.0421830945380462","0.00130800272140144","0.0140527813448604","0.026072055378655"
"8","0.012004193647009","0.000372223126177069","0","0.00227693670210265","0.029626346028197","0.000918646333359009","0.00566385087586829","0.015073137602169","0.043682198959299","0.00135448657927647","0.0152194576075939","0.027499064412831"
"8.16666666666667","0.0127806038186248","0.000396297864474956","0","0.00274144224057819","0.0309338454120097","0.000959188953108525","0.00646328854274988","0.0161680386228396","0.0452596687230463","0.00140340037228583","0.0164482527353659","0.0289983356080018"
"8.33333333333333","0.0136102223468724","0.000422022475713089","0","0.00324207678269977","0.0323194062928281","0.00100215208648207","0.00731547151318094","0.0173305976576956","0.0469256348920814","0.00145505824223798","0.0177465408313713","0.0305787868850843"
"8.5","0.0145002043055607","0.000449618822932205","0","0.00378370504200014","0.0337934524566551","0.0010478589520348","0.00822707679594083","0.0185694671164532","0.0486918117343919","0.00150982342265524","0.0191229016393506","0.0322507738673525"
